epsilon_s,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_82,M_83,M_84,M_85,M_86,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100
900,3929.48,2964.1,3307.74,4242.81,3557.42,3757.92,4850.21,4423.71,3248.61,3982.51,3640.99,3893.08,4001.14,3668.9,2746.22,4501.08,3819.11,3992.63,4554.56,4642.03,4134.4,4093.4,3459.33,3509.26,3397.47,4209.12,3331.33,3595.93,3304.39,4091.76,3459.98,3537.59,3038.62,3828.76,3294.65,3921.78,3950.06,3806.17,3879.29,3131.25,3750.83,4598.65,3747.07,4243.05,3402.37,2972.11,3987.07,3860.71,2878.47,3235.88,3903.1,3202.51,3523.56,3412.62,5041.32,3646.78,4190.19,3298.54,3018.45,4534.69,3449.23,3441.98,4233.51,3734.84,4329.38,3301.76,3120.53,3749.31,3772.42,3675.81,2776.35,4092.31,3732.81,4531.4,3293.06,3994.86,3059.17,4050,3425.89,4186.35,4220.13,4206.65,4676.96,3618.66,3116.87,3345.81,4472.19,4238.58,3736.01,4116.26,3809.94,3555,4389.9,3769,4221.93,3322.14,3869.62,3621.94,3867.2,3919.13
925,4004.67,3015.57,3364.48,4344.32,3620.7,3820.17,4936.48,4504.52,3309.54,4052.16,3709.25,3962.34,4073.83,3735.36,2795.59,4576.91,3893.16,4063.81,4633.81,4722.72,4205.51,4165.25,3520.98,3572.75,3461.39,4284.19,3389.28,3656.49,3359.38,4157.4,3519.18,3599.99,3091.52,3886.47,3355.05,4000.15,4016.38,3880.95,3936.49,3185.33,3822.4,4684.31,3809.77,4313.48,3461.77,3008.66,4058.98,3930.28,2931.07,3293.63,3975.81,3254.8,3576.5,3472.43,5130.42,3709.5,4276.44,3360.25,3067.39,4615.1,3512.35,3506.12,4306.64,3797.33,4405.99,3361.36,3181.84,3817.64,3839.08,3743.11,2824.5,4180.53,3796.05,4611.5,3351.27,4063.95,3111.72,4122.74,3490,4257.11,4291.6,4277.1,4753.68,3680.34,3172.89,3406.03,4551.25,4317.04,3810.02,4190,3873.71,3615.63,4469.2,3830.89,4295.29,3377.14,3943.87,3681.51,3942.17,3989.7
950,4074.84,3067.04,3420.6,4441.78,3683.98,3882.42,5022.75,4585.34,3368.05,4121.81,3773.01,4025.23,4146.52,3799.03,2844.95,4649.83,3962.25,4134.99,4706.52,4803.41,4276.61,4232.08,3582.62,3630.22,3525.32,4359.27,3447.24,3717.04,3414.37,4223.04,3578.36,3659.88,3142.23,3944.17,3409.85,4073.19,4076.72,3949.75,3993.68,3239.42,3887.78,4760.31,3866.98,4383.91,3516.27,3045.21,4129.96,3993,2982.31,3348.68,4044.85,3302.18,3629.44,3532.24,5219.51,3767.48,4362.11,3421.94,3115.1,4695.52,3575.47,3567.09,4373.37,3859.81,4479.37,3420.95,3243.15,3880.87,3905.46,3808.19,2872.66,4267.11,3855.73,4685.72,3407.64,4133.04,3162.63,4195.49,3549.74,4327.25,4363.07,4347.54,4828.54,3742.03,3228.91,3460.97,4630.31,4388.23,3878.53,4262.76,3937.48,3676.26,4548.51,3892.77,4368.64,3426.69,4018.13,3741.09,4010.67,4055.65
975,4145.02,3117.08,3476.73,4538.98,3744.29,3944.67,5109.03,4660.46,3423.58,4190.64,3834.84,4086.4,4212.22,3862.7,2890.24,4722.75,4029.78,4201.69,4779.24,4884.09,4341.22,4298.91,3640.11,3687.68,3585.42,4426.61,3503.65,3777.59,3469.35,4279.34,3631.15,3719.77,3189.81,4001.87,3464.65,4145.11,4137.05,4018.11,4050.88,3288.01,3953.16,4836.05,3924.2,4454.34,3569.35,3081.75,4200.95,4055.09,3033.55,3403.74,4110.23,3348.36,3682.37,3590.16,5306.12,3822.98,4441.85,3478.2,3158.31,4775.93,3632.81,3625.48,4437.59,3922.3,4547.02,3479.29,3301.03,3944.11,3964.83,3868.91,2920.11,4353.38,3915.42,4755.75,3459.82,4202.14,3213.55,4266.11,3607.8,4389.19,4434.55,4416.14,4903.39,3803.67,3281.75,3515.08,4707.97,4458.12,3947.04,4335.53,3998.06,3735.8,4626.81,3952.51,4438.11,3476.23,4085.92,3800.67,4079.16,4118.66
1000,4215.19,3163.44,3529.32,4634.07,3801.16,4000.1,5188.1,4732.41,3479.1,4252.64,3896.67,4147.57,4277.31,3925.21,2935.16,4795.67,4097.3,4265.24,4851.96,4956.72,4403.73,4365.74,3695.51,3745.15,3643.79,4493.6,3555.87,3832.98,3521.45,4335.64,3683.94,3777.81,3237.39,4059.26,3519.45,4217.02,4197.39,4086.48,4108.08,3336.32,4018.55,4911.79,3981.41,4519.31,3622.43,3118.3,4266.9,4117.17,3081.38,3456.74,4175.62,3394.55,3731.73,3643.78,5384.95,3878.47,4521.59,3534.46,3201.53,4847.85,3689.8,3683.86,4501.81,3980.58,4614.67,3533.33,3358.18,4007.34,4024.19,3929.63,2963.73,4434.36,3975.1,4825.79,3511.99,4265.3,3261.85,4331.18,3665.85,4451.13,4502.14,4478.33,4978.25,3859.1,3332.48,3569.18,4777.93,4528.01,4015.39,4403.16,4054.32,3790.27,4697.85,4006.94,4503.28,3525.77,4153.18,3855.13,4147.66,4181.66
1025,4278.78,3209.8,3579.73,4726.62,3858.04,4054.98,5264.61,4804.36,3533.17,4314.65,3956.32,4208.75,4342.4,3982.29,2980.08,4863.3,4161.35,4328.78,4921.55,5028.5,4466.23,4428.35,3750.91,3799.7,3702.17,4560.59,3608.1,3886.93,3570.37,4391.94,3736.74,3831.61,3284.97,4108.38,3569.98,4284.29,4256.62,4149.94,4157.89,3384.62,4078.82,4987.53,4036.06,4581.46,3674.67,3145.31,4331.19,4177.94,3128.02,3506.51,4241,3440.73,3777.66,3697.41,5463.79,3933.96,4600.95,3590.71,3244.74,4919.64,3746.79,3740.2,4566.03,4035.79,4682.32,3587.38,3414.27,4064.74,4083.55,3990.35,3007.36,4515.33,4030.39,4895.83,3564.17,4326.72,3307.72,4396.25,3721.77,4513.08,4564.94,4540.53,5046.85,3914.52,3383.22,3621.2,4847.9,4597.9,4077.79,4469.01,4110.59,3844.75,4768.9,4061.38,4568.46,3574.18,4220.44,3908.01,4211.42,4244.67
1050,4342.04,3256.16,3630.14,4819.17,3914.91,4109.86,5341.12,4876.31,3583.47,4376.65,4011.96,4264.44,4406.27,4039.37,3021.82,4926.92,4222.51,4392.33,4985.42,5100.27,4528.73,4487.24,3805.99,3850.75,3757.86,4626.55,3660.32,3940.89,3619.29,4448.24,3788.05,3885.41,3327.74,4157.49,3619.4,4349.82,4309.22,4212.01,4206.94,3431.72,4137.87,5055.31,4086.34,4643.61,3721.82,3163.88,4395.48,4232.96,3174.66,3556.29,4300.12,3481.96,3823.59,3751.03,5542.62,3984.74,4674.17,3642.72,3286.76,4991.44,3801.1,3793.03,4626.06,4091.01,4747.9,3641.42,3467.3,4121.55,4141.71,4045.58,3050.98,4594.98,4082.79,4964.34,3612.38,4388.13,3353.59,4461.32,3773.99,4575.02,4627.73,4602.72,5112.01,3969.94,3432.78,3669.51,4917.87,4659.83,4140.19,4534.86,4166.85,3899.23,4839.94,4115.82,4633.64,3617.56,4284.96,3960.89,4273.1,4301.51
1075,4405.29,3298.86,3680.55,4907.59,3966.72,4164.74,5417.63,4942.92,3633.78,4437.65,4067.6,4318.06,4464.15,4096.45,3062.49,4990.54,4283.67,4450.56,5049.28,5172.04,4587.54,4546.14,3855.47,3901.81,3810.84,4685.92,3708.43,3994.84,3668.21,4504.54,3834.86,3939.21,3370.3,4206.61,3668.81,4415.35,4361.83,4274.09,4255.99,3474.61,4196.93,5121.67,4136.61,4705.76,3768.97,3182.45,4457.76,4287.97,3219.19,3606.06,4358.48,3522.54,3869.52,3801.11,5620.92,4033.53,4747.39,3693.7,3324.73,5062.63,3852.21,3845.86,4682.04,4146.23,4807.19,3690.93,3520.32,4178.35,4194.22,4100.01,3091.07,4670.26,4135.2,5025.06,3658.86,4449.55,3399.47,4523.2,3826.21,4631.21,4690.53,4664.41,5177.18,4023.01,3478.46,3717.82,4987.83,4721.58,4202.59,4598.73,4221.24,3950.23,4908.62,4170,4694.98,3660.95,4345.42,4013.78,4334.77,4357.37
1100,4466.92,3340.39,3725.75,4995.24,4017.51,4214.9,5489.1,5006.46,3684.08,4492.47,4123.25,4371.69,4522.03,4151.25,3103.16,5054.16,4344.83,4506.91,5113.15,5236.31,4642.08,4605.04,3904.95,3952.86,3863.82,4745.29,3755.23,4043.34,3714.28,4552.51,3881.66,3989.41,3412.86,4255.72,3717.04,4478.86,4414.44,4334.28,4305.04,3517.5,4254.65,5188.03,4186.89,4764.65,3816.13,3201.01,4515.65,4342.99,3261.42,3651.14,4416.84,3563.12,3915.45,3848.89,5690.14,4082.31,4820.61,3744.68,3362.7,5126.28,3903.33,3898.69,4738.03,4198.93,4866.48,3739.66,3571.37,4233.95,4246.72,4154.43,3130.39,4745.53,4187.61,5085.78,3705.34,4505.68,3440.61,4581,3878.43,4685.06,4753.32,4718.98,5242.34,4072.53,3524.15,3766.13,5049.62,4783.33,4261.2,4658,4270.57,3998.93,4971.81,4217.59,4752.5,3704.34,4405.88,4061.9,4396.45,4413.24
1125,4523.57,3381.92,3770.79,5082.44,4068.3,4262.98,5556.42,5070,3730.49,4547.29,4175.18,4425.31,4579.91,4202.11,3142.84,5117.78,4399.91,4563.25,5177.02,5299.72,4696.62,4662.9,3954.42,4001.85,3916.81,4804.66,3802.03,4091.14,3757.55,4600.48,3928.46,4037.49,3454.96,4304.84,3761.4,4538.22,4467.05,4390.31,4354.09,3560.39,4307.7,5254.38,4237.16,4819.15,3862.98,3219.58,4573.55,4398.01,3303.65,3695.92,4475.21,3603.7,3956.58,3896.68,5759.36,4131.1,4888.96,3794.28,3400.67,5189.93,3954.44,3947.04,4794.01,4247.42,4925.77,3788.39,3620.37,4284.71,4299.23,4208.81,3169.71,4819.66,4239.21,5146.5,3751.82,4559.91,3481.75,4638.8,3927.15,4738.91,4808.15,4773.54,5307.5,4122.06,3569.83,3812.08,5111.06,4845.09,4317.7,4717.27,4319.91,4047.63,5035,4265.19,4810.03,3747.73,4466.33,4108.58,4452.01,4469.11
