x,A16L,A27L,A50L,A67L,A16L_COV,A27L_COV,A50L_COV,A67L_COV,A16L_Shear,A27L_Shear,A50L_Shear,A67L_Shear,A16L_Shear_COV,A27L_Shear_COV,A50L_Shear_COV,A67L_Shear_COV
459.312,40879.85728,39968.03616,38905.74464,35747.85776,0.069633,0.0763019,0.0868227,0.0959289,387.864693,409.6397896,377.1075345,332.9863239,0.053269833,0.0796037,0.091655967,0.086462
475.716,42927.50864,42258.72672,41010.11744,37782.23232,0.068322,0.0791569,0.0884882,0.0965858,405.1211086,411.0943103,384.3396722,332.1073168,0.050157733,0.0785744,0.091459267,0.092099
492.12,44893.43392,44557.38336,43087.12528,39760.84432,0.0664438,0.0812457,0.0889318,0.0973885,402.7606036,409.1069899,390.5286915,344.0402316,0.049235767,0.075219633,0.094514533,0.092891733
508.524,46956.42736,47023.32768,45435.4224,41771.32064,0.0646934,0.0839874,0.0909829,0.0966312,404.4624153,419.0256071,405.3886325,353.1472847,0.047448467,0.0750616,0.096989233,0.0976239
524.928,49368.96944,49530.5776,47619.38224,43823.32384,0.0663199,0.0868106,0.0910476,0.0966469,418.5759871,427.3165999,411.4989683,356.4272626,0.046802,0.079472633,0.100937667,0.096984267
541.332,51398.69712,52301.372,49964.21264,45772.35808,0.0642858,0.0906531,0.0928939,0.0956131,414.7677057,439.2607552,415.6894267,357.0477382,0.049828867,0.0841582,0.101648,0.0977055
557.736,53705.31984,55152.9336,52074.56,47850.47232,0.0627879,0.0950993,0.0920388,0.0951957,428.5148372,450.9890929,420.3519861,365.4264069,0.052070967,0.085472967,0.102593,0.0985437
574.14,55892.3776,57897.32192,54420.93936,49755.84064,0.0605726,0.0973393,0.0922692,0.0936813,439.323702,444.4853396,428.0022704,369.5359337,0.057038167,0.083313067,0.102574667,0.0987245
590.544,58262.2864,60707.35664,56712.66256,51793.09184,0.0593644,0.0993349,0.0912794,0.0933664,443.9165703,450.721569,433.0874726,369.4662426,0.059008967,0.083621067,0.103721333,0.100058167
606.948,60550.24784,63444.81152,59112.44416,53953.37472,0.0576726,0.101058,0.0923019,0.0927596,448.5926183,468.4545818,438.9460212,383.1976374,0.059761833,0.085936133,0.103247667,0.0991246
623.352,62803.54208,66328.38496,61478.81248,55971.74336,0.0564734,0.102327,0.0913174,0.0917427,452.0974062,469.9248392,438.7257074,375.7137125,0.055666267,0.091634967,0.107720333,0.1013961
639.756,65232.82768,68996.35792,64156.96432,58096.10512,0.0549204,0.102079,0.0930264,0.0917324,451.2543687,485.2029268,457.5895145,385.4884513,0.054958433,0.0950618,0.113216,0.0990169
656.16,67783.74352,71829.11072,66649.01968,60187.34864,0.0543461,0.102666,0.0926198,0.0920012,460.5390217,496.1961358,472.5416276,385.9155903,0.0523166,0.0983367,0.1188525,0.1000297
